Academic period,Number,Relation: Relation ID
First Semester 2019,1,953
Second Semester 2018,2,453
First Semester 2019,2,453
Second Semester 2018,4,948
First Semester 2019,4,948
Second Semester 2018,2,429
First Semester 2019,2,429
Second Semester 2018,1,422
First Semester 2019,1,422
Second Semester 2018,1,410
First Semester 2019,1,410
Second Semester 2018,4,418
First Semester 2019,4,418
Second Semester 2018,4,395
First Semester 2019,4,395
Second Semester 2018,1,391
First Semester 2019,0,391
Second Semester 2018,1,837
First Semester 2019,1,837
Second Semester 2018,2,596
First Semester 2019,2,596
Second Semester 2018,3,619
First Semester 2019,2,619
Second Semester 2018,2,1013
First Semester 2019,2,1013
Second Semester 2018,2,611
First Semester 2019,0,611
Second Semester 2018,1,383
First Semester 2019,1,383
Second Semester 2018,4,862
First Semester 2019,4,862
Second Semester 2018,7,726
First Semester 2019,7,726
Second Semester 2018,4,371
First Semester 2019,4,371
Second Semester 2018,2,771
First Semester 2019,2,771
Second Semester 2018,5,865
First Semester 2019,5,865
Second Semester 2018,2,363
First Semester 2019,2,363
Second Semester 2018,7,349
First Semester 2019,5,349
Second Semester 2018,2,346
First Semester 2019,2,346
Second Semester 2018,6,736
First Semester 2019,2,736
Second Semester 2018,4,525
First Semester 2019,4,525
Second Semester 2018,5,1051
First Semester 2019,5,1051
Second Semester 2018,2,740
First Semester 2019,2,740
Second Semester 2018,1,756
First Semester 2019,1,756
Second Semester 2018,1,1244
First Semester 2019,1,1244
Second Semester 2018,1,1245
First Semester 2019,1,1245
Second Semester 2018,1,1246
First Semester 2019,1,1246
Second Semester 2018,1,1247
First Semester 2019,1,1247
Second Semester 2018,1,1241
First Semester 2019,1,1241
Second Semester 2018,1,1242
First Semester 2019,1,1242
Second Semester 2018,1,1243
First Semester 2019,6,1243
Second Semester 2018,2,1008
First Semester 2019,2,1008
Second Semester 2018,4,547
First Semester 2019,4,547
Second Semester 2018,7,267
First Semester 2019,7,267
Second Semester 2018,1,473
First Semester 2019,1,473
Second Semester 2018,1,501
First Semester 2019,1,501
Second Semester 2018,2,1248
First Semester 2019,2,1248
Second Semester 2018,2,635
First Semester 2019,2,635
Second Semester 2018,4,445
First Semester 2019,1,945
Second Semester 2018,1,1266
Second Semester 2018,1,589
Second Semester 2018,1,1005
Second Semester 2018,5,926
Second Semester 2018,1,905
First Semester 2019,1,921
Second Semester 2018,0,881
First Semester 2019,2,881
Second Semester 2018,0,921
Second Semester 2018,0,608
First Semester 2019,0,608
Second Semester 2018,0,403
First Semester 2019,0,403
Second Semester 2018,0,945
Second Semester 2018,0,938
First Semester 2019,3,938
First Semester 2019,1,1005
Second Semester 2018,2,1010
First Semester 2019,1,1010
Second Semester 2018,1,1009
First Semester 2019,1,1009
Second Semester 2018,1,1011
Second Semester 2018,7,908
First Semester 2019,1,1011
Second Semester 2018,2,1007
,2,1007
Second Semester 2018,2,201
First Semester 2019,2,201
Second Semester 2018,4,680
Second Semester 2018,2,707
First Semester 2019,2,707
Second Semester 2018,2,982
First Semester 2019,2,982
Second Semester 2018,2,339
First Semester 2019,2,339
Second Semester 2018,4,319
Second Semester 2018,2,620
First Semester 2019,2,620
Second Semester 2018,2,593
First Semester 2019,2,593
Second Semester 2018,2,998
Second Semester 2018,1,1000
Second Semester 2018,2,1006
First Semester 2019,2,1006
Second Semester 2018,1,572
Second Semester 2018,2,1004
First Semester 2019,2,1004
Second Semester 2018,5,984
Second Semester 2018,2,564
First Semester 2019,0,564
Second Semester 2018,1,566
First Semester 2019,0,566
Second Semester 2018,5,584
First Semester 2019,5,584
,5,926
First Semester 2019,5,984
Second Semester 2018,7,632
First Semester 2019,7,632
Second Semester 2018,7,586
First Semester 2019,7,586
First Semester 2019,7,908
Second Semester 2018,1,57
Second Semester 2018,2,762
Second Semester 2018,1,1276
First Semester 2019,1,57
First Semester 2019,4,1062
First Semester 2019,1,1292
First Semester 2019,1,657
First Semester 2019,2,242
First Semester 2019,1,774
First Semester 2019,1,1124
First Semester 2019,1,572
First Semester 2019,1,627
First Semester 2019,1,789
First Semester 2019,3,1087
First Semester 2019,1,878
First Semester 2019,1,716
First Semester 2019,1,1305
First Semester 2019,2,1287
First Semester 2019,1,1070
First Semester 2019,1,1068
Second Semester 2018,1,716
First Semester 2019,1,911
First Semester 2019,2,1000
First Semester 2019,0,999
First Semester 2019,2,762
First Semester 2019,1,976
First Semester 2019,1,1128
First Semester 2019,2,1091
Second Semester 2018,1,978
Second Semester 2018,1,976
Second Semester 2018,1,242
First Semester 2019,1,544
Inter-semester 2018,17,1100
Inter-semester 2018,5,1023
Inter-semester 2018,17,1337
Second Semester 2019,1,188
Second Semester 2018,3,1397
First Semester 2019,3,1397
First Semester 2019,1,1276
First Semester 2019,2,145
Second Semester 2019,2,525
Second Semester 2019,7,868
First Semester 2020,7,868
Second Semester 2019,1,23
First Semester 2020,1,23
First Semester 2019,1,1097
Second Semester 2018,4,1461
First Semester 2019,4,1461
Second Semester 2019,4,1461
Second Semester 2019,1,410
First Semester 2020,1,410
Second Semester 2019,4,418
First Semester 2020,4,418
Second Semester 2019,2,145
First Semester 2020,2,145
Second Semester 2019,2,799
First Semester 2020,2,799
Second Semester 2019,4,395
First Semester 2020,4,395
Second Semester 2020,4,395
Second Semester 2019,2,1292
First Semester 2020,1,1292
Second Semester 2019,2,57
First Semester 2020,1,57
Second Semester 2019,2,635
First Semester 2020,2,635
Second Semester 2019,2,84
First Semester 2020,2,84
Second Semester 2019,2,541
First Semester 2020,2,541
Second Semester 2019,2,547
First Semester 2020,2,547
Second Semester 2019,2,1016
First Semester 2020,2,1016
Second Semester 2019,2,544
First Semester 2020,2,544
Second Semester 2019,1,538
First Semester 2020,1,538
Second Semester 2019,2,535
First Semester 2020,2,535
Second Semester 2019,2,855
First Semester 2020,2,855
Second Semester 2019,2,1070
First Semester 2020,2,1070
Second Semester 2019,3,1305
Second Semester 2019,0,191
Second Semester 2019,5,1381
Second Semester 2019,1,652
Second Semester 2019,2,346
Second Semester 2019,1,383
Second Semester 2019,2,67
Second Semester 2019,5,668
Second Semester 2019,1,671
Second Semester 2019,5,184
Second Semester 2019,3,688
Second Semester 2019,2,692
Second Semester 2019,2,695
Second Semester 2019,1,391
Second Semester 2019,1,611
Second Semester 2019,2,619
Second Semester 2019,1,445
Second Semester 2019,2,498
Second Semester 2019,2,453
Second Semester 2019,5,114
Second Semester 2019,5,513
Second Semester 2019,4,846
Second Semester 2019,6,119
Second Semester 2010,3,207
Second Semester 2019,4,462
Second Semester 2019,2,555
Second Semester 2019,2,179
Second Semester 2019,2,786
Second Semester 2019,1,1068
Second Semester 2019,2,887
Second Semester 2019,1,1353
Second Semester 2019,5,89
Second Semester 2019,2,768
Second Semester 2019,6,926
Second Semester 2019,2,96
Second Semester 2019,5,865
Second Semester 2019,2,740
Second Semester 2019,4,862
Second Semester 2019,1,830
Second Semester 2019,2,294
Second Semester 2019,1,837
Second Semester 2019,2,842
Second Semester 2019,2,7
Second Semester 2019,1,92
Second Semester 2019,4,948
Second Semester 2019,1,306
Second Semester 2019,1,501
Second Semester 2018,1,1465
First Semester 2019,2,1465
Second Semester 2018,2,1469
First Semester 2019,0,1469
Second Semester 2018,5,1470
First Semester 2019,5,1470
Second Semester 2018,5,1471
First Semester 2019,5,1471
Second Semester 2018,5,1472
First Semester 2019,5,1472
Second Semester 2018,6,1473
First Semester 2019,2,1473
Second Semester 2018,6,1474
First Semester 2019,2,1474
Second Semester 2018,6,1475
First Semester 2019,2,1475
Second Semester 2019,4,248
Second Semester 2019,1,878
Second Semester 2019,1,1124
Second Semester 2010,1,572
Second Semester 2019,2,1301
Second Semester 2019,1,627
Second Semester 2019,2,558
Second Semester 2019,1,582
Second Semester 2019,5,584
Second Semester 2019,7,586
Second Semester 2019,2,1028
Second Semester 2019,2,871
Second Semester 2019,5,349
Second Semester 2019,2,771
Second Semester 2019,2,528
Second Semester 2019,1,159
Second Semester 2019,3,1024
Second Semester 2019,2,754
Second Semester 2019,3,1087
Second Semester 2019,2,342
Second Semester 2019,2,747
Second Semester 2019,1,1466
Second Semester 2019,1,1303
Second Semester 2019,1,1468
Second Semester 2019,3,1472
Second Semester 2019,2,3
Second Semester 2019,3,1469
Second Semester 2019,2,631
Second Semester 2019,2,665
First Semester 2020,3,665
First Semester 2020,1,453
Second Semester 2019,1,1471
Second Semester 2019,4,371
Second Semester 2019,2,596
First Semester 2020,3,1305
Second Semester 2019,2,1014
Second Semester 2019,2,1091
Second Semester 2019,2,765
First Semester 2020,2,740
Second Semester 2019,1,222
First Semester 2020,1,222
First Semester 2020,4,948
Second Semester 2019,1,300
Second Semester 2019,1,1128
Second Semester 2019,2,51
Second Semester 2019,2,1248
Second Semester 2019,1,881
Second Semester 2019,2,16
Second Semester 2019,3,62
Second Semester 2019,1,1287
Second Semester 2019,3,211
Second Semester 2019,1,71
Second Semester 2019,1,531
Second Semester 2019,6,981
Second Semester 2019,1,968
Second Semester 2019,2,1062
Second Semester 2019,2,13
Second Semester 2019,1,225
Second Semester 2019,1,953
Second Semester 2019,2,1473
Second Semester 2019,2,1475
Second Semester 2019,1,1474
Second Semester 2019,2,736
Second Semester 2019,2,149
Second Semester 2019,3,139
Second Semester 2019,3,1430
