Name,Degree type,Name in Foreign Languages
Master in Clinical and Health Psychology,Master,Maestría en Psicología Clínica y de la Salud
Master in Computational Biology,Master,Maestría en Biología Computacional
Master in Computing and Systems Engineering,Master,Maestría en Ingeniería  de Sistemas y Computación
Master in Cultural Studies,Master,Maestría en Estudios Culturales
Master in Design,Master,Maestría en Diseño
Master in Development Management and Practice,Master,Maestría en Gerencia y Práctica del Desarrollo
Master in Digital Humanities,Master,Máster en Humanidades Digitales
Master in Economics,Master,Maestría en Economía
Master in Education,Master,Maestría en Educación
Master in Electrical Engineering,Master,Maestría en Ingeniería Electrica
Master in Electronic and Computer Engineering,Master,Maestría en Ingeniería Electrónica y de Computadores
Master in Environmental Engineering,Master,Maestría en Ingeniería Ambiental
Master in Environmental Management,Master,Maestría en Gerencia Ambiental
Master in Epidemiology,Master,Maestría en Epidemiología
Master in Finance,Master,Maestría en Finanzas
Master in Fine Arts,Master,Maestría en Artes Plásticas
Master in Gender,Master,Maestría en Género
Master in Geography,Master,Maestría en Geografía
Master in History,Master,Maestría en Historia
Master in Industrial Engineering,Master,Maestría en Ingeniería Industrial
Master in Information Engineering,Master,Maestría en Ingeniería de Información
Master in Information Security,Master,Maestría en Seguridad de la Información
Master in Intellectual Property,Master,Maestría en Propiedad Intelectual
Master in Interdisciplinary Studies on Development,Master,Maestría en Estudios Interdisciplinarios sobre Desarrollo​
Master in International Law,Master,Maestría en Derecho Internacional
Master in International Studies,Master,Maestría en Estudios Internacionales
Master in Journalism,Master,Maestría en Periodismo
Master in Law,Master,Maestría en Derecho
"Master in Law, Government and Justice Management",Master,"Maestría en Derecho, Gobierno y Gestión de la Justicia"
Master in Literature,Master,Maestría en Literatura
Master in Marketing,Master,Maestría en Mercadeo
Master in Mathematics,Master,Maestría en Matemáticas
Master in Mathematics Education,Master,Maestría en Educación Matemática
Master in Mechanical Engineering,Master,Maestría en Ingeniería Mecánica
Master in Movable Cultural Heritage,Master,Maestría en Patrimonio Cultural Mueble
Master in Music,Master,Maestría en Música
Master in Peace Building,Master,Maestría en Construcción de Paz
Master in Petroleum Engineering,Master,Maestría en Ingeniería de Petróleos
Master in Philosophy,Master,Maestría en Filosofía
Master in Physics,Master,Maestría en Física
Master in Political Science,Master,Maestría en Ciencia Política
Master in Private Law,Master,Maestría en Derecho Privado
Master in Processes and Products Design,Master,Maestría en Diseño de Procesos y Productos
Master in Psychology,Master,Maestría en Psicología
Master in Public Health,Master,Maestría en Salud Pública
Master in Public Law for administrative management,Master,Maestría en Derecho Público para la Gestión Administrativa
Master in Public Management,Master,Maestría en Gestión Pública
Master in Public Policy,Master,Maestría en Políticas Públicas
Master In Regeneration And Sustainable Development,Master,Maestría En Regeneración Y Desarrollo Sostenible
Master in Regional Education,Master,
Master in Regulation,Master,Maestría en Regulación
Master in Research in Management,Master,
Master in Sociology,Master,Maestría en Sociología
Master in Software Engineering,Master,Maestría en Ingeniería de Software
Master in Strategic Management of Architecture Projects,Master,Maestría en Gestión Estratégica de Proyectos de Arquitectura
Master in Supply Chain Management,Master,Maestría en Gestión de la Cadena de Suministro
Master in Taxatation,Master,Maestría en Tributación
Master in Teaching of Foreign Languages,Master,Maestría en Pedagogía de Lenguas Extranjeras
Master in Technology Innovation Management,Master,Maestría en Gestión de la Innovación Tecnológica
Master in Urban and Regional Planning,Master,Maestría Planificación Urbana y Regional​​​
Mathematics Bsc,Bachelor,Matemáticas
Mathematics Minor,Minor,Opción en Matemáticas
Mechanical Engineering Bsc,Bachelor,Ingeniería Mecánica
Media Minor,Minor,Opción en Medios
Medical Surgical Specializations,Specialization,
Medicine,Bachelor,Medicina
Microbiology Bsc,Bachelor,Microbiología
Minor in IT in organizations,Minor,Opción en TI en las organizaciones
Multimedia Creation,Specialization,
Music Bsc,Bachelor,Música
Music History Minor,Minor,Opción en Historia de la Música
Musical Culture Minor,Minor,Opción en Cultura Musical
Musical Language Minor,Minor,Opción en Lenguaje Musical
Neuroscience minor,Minor,Opción en Neurociencia
Organizational and Management Control Systems,Specialization,
Other Bsc,Bachelor,Otro pregrado
Other Master Program,Master,Otra maestría
Other PhD,Doctorate,Otro PhD
Part - Time MBA,Master,MBA Tiempo Parcial
PhD in Interdisciplinary Development Studies,Doctorate,Doctorado en Estudios Interdisciplinarios sobre Desarrollo
Philosophy Bsc,Bachelor,Filosofía 
Philosophy Minor,Minor,Opción en Filosofía
Photography Minor,Minor,Opción en Fotografía
Physics Bsc,Bachelor,Física
Physics Minor,Minor,Opción en Física
Political Science Bsc,Bachelor,Ciencia Política
Political Science Minor,Minor,Opción en Ciencia Política
Portuguese Language and Culture Minor,Minor,Opción en Lengua y Cultura Portuguesa
Psychobiology Minor,Minor,Opción en Psicobiología
Psychological Processes Minor,Minor,Opción en Procesos Psicológicos
Psychology Bsc,Bachelor,Psicología
Public Management Minor,Minor,Opción en Gestión Pública
Public Policy Minor,Minor,Opción en Políticas Públicas
Recording Techniques Minor,Minor,Opción en Técnicas de Grabación
Risk Management and Control of Financial Institutions,Specialization,
Social Psychology Minor,Minor,Opción en Psicología Social
Sociology Minor,Minor,Opción en Sociología
Specialization in Commercial Law,Specialization,
Specialization in Company Law,Specialization,
Specialization in Curriculum and Pedagogy,Specialization,
Specialization in Design and Social Management of Technology,Specialization,
Specialization in Electric Power Transmission and Distribution Systems,Specialization,
Specialization in Energy Mining Law and Sustainable Development,Specialization,
Specialization in Financial Legislation,Specialization,
Specialization in Financial Management,Specialization,
Specialization in Integrated Environmental Management,Specialization,
Specialization in International Business Law,Specialization,
Specialization in Management of Education Institutions,Specialization,
Specialization in Market Intelligence,Specialization,
Specialization in Negotiation,Specialization,
"Specialization in Organizations, Social Responsability and Development",Specialization,
Specialization in Public Management and Administrative Institutions,Specialization,
Specialization in Regional Development Management,Specialization,
Specialization in Social Project Evaluation,Specialization,
Specialization in Software Construction,Specialization,
"Specialization in State, Public Policies and Development",Specialization,
Specialization in Strategic Supply Management,Specialization,
Specialization in Taxation,Specialization,
Specialziation in Industrial Process Automation,Specialization,
State and Law Minor,Minor,Opción en Derecho y Estado
Systems and Computing Engineering Bsc,Bachelor,Ingeniería de Sistemas y Computación
Telecommunications Business Management,Specialization,
Textiles Minor,Minor,Opción en Textiles
Theater Studies Minor,Minor,Opción en Estudios Teatrales
Urban Water Systems Engineering,Specialization,
Video Game Development,Specialization,
Visual computing minor,Minor,Opción en Computación visual
