Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
Exchange Student Undergraduate-Australian National University-Universidad de los Andes-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,23,0,Australian National University
Exchange Student Undergraduate-Australian National University-Universidad de los Andes-Outgoing,2019,First Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,23,0,Australian National University
Exchange Student-Bezalel Academy of Arts and Design-School of Arts and Humanities-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Terminated,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc,826,1,Bezalel Academy of Arts and Design
Exchange Student-Bezalel Academy of Arts and Design-School of Arts and Humanities-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Terminated,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc,826,1,Bezalel Academy of Arts and Design
Exchange Student Undergraduate-BI Handelshøyskolen-School of Management-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,32,1,BI Handelshøyskolen
Exchange Student Undergraduate-BI Handelshøyskolen-School of Management-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Administration Bsc,32,1,BI Handelshøyskolen
Exchange Student-Birmingham City University-School of Arts and Humanities-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Terminated,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc,35,1,Birmingham City University
Exchange Student-Birmingham City University-School of Arts and Humanities-Outgoing,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Outgoing,Terminated,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc,35,1,Birmingham City University
Exchange Student-American University - Washington College of Law-School of Law-Outgoing,2019,First Semester 2019,0,"0,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,7,0,"American University, American University - Washington College of Law"
Exchange Student-Brandenburgische Technische Universität-Universidad de los Andes-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc,498,2,Brandenburgische Technische Universität Cottbus-Senftenberg
Exchange Student-Brandenburgische Technische Universität-Universidad de los Andes-Outgoing,2019,First Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc,498,2,Brandenburgische Technische Universität Cottbus-Senftenberg
Exchange Student Undergraduate-Bucerius Law School-Hochschule für Rechtswissenschaft-School of Law-Outgoing,2018,Second Semester 2018,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,39,1,Bucerius Law School - Hochschule für Rechtswissenschaft
Exchange Student Undergraduate-Bucerius Law School-Hochschule für Rechtswissenschaft-School of Law-Outgoing,2019,First Semester 2019,0,"0,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,39,0,Bucerius Law School - Hochschule für Rechtswissenschaft
Exchange Student Undergraduate-Center for Transnational Legal Studies-School of Law-Outgoing,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,42,0,"Center for Transnational Legal Studies (Georgetown), Georgetown University"
Exchange Student Undergraduate-Center for Transnational Legal Studies-School of Law-Outgoing,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Law Bsc,42,1,"Center for Transnational Legal Studies (Georgetown), Georgetown University"
