Relation: Name,Academic year,Academic period,Number,Total duration,Time unit,Relation: Relation type,Relation: Direction,Relation: Status,Relation: Subject area,Relation: Level,Relation: Degree programme,Relation: Relation ID,Remaining seats,Relation: External institutions
SMILE-Exchange Student Undergraduate-Universidad Politécnica de Madrid (ETSIC)-Civil Engineering-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Civil Engineering Bsc,1009,0,"Universidad Politécnica de Madrid, Universidad Politécnica de Madrid - Escuela Técnica Superior de Ingeniería Civil (ETSIC)"
SMILE-Exchange Student Undergraduate-Universidad Politécnica de Madrid (ETSIFMN)-Environmental Engineering-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Environmental Engineering Bsc,1010,1,"Universidad Politécnica de Madrid, Universidad Politécnica de Madrid - Escuela Técnica Superior de Ingeniería de Montes, Forestal y del Medio Natural"
SMILE-Exchange Student Undergraduate-Universidad Politécnica de Madrid (ETSIT)-Biomedical Engineering-Electronic Engineering-Electrical Engineering-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Biomedical Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc,1007,1,"Universidad Politécnica de Madrid, Universidad Politécnica de Madrid - Escuela Técnica Superior de Ingenieros de Telecomunicaciones"
SMILE-Exchange Student Undergraduate-Universidad Politécnica de Madrid (ETSII)-Industrial Egineering-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Industrial Engineering Bsc,1004,0,"Universidad Politécnica de Madrid, Universidad Politécnica de Madrid - Escuela Técnica Superior de Ingenieros Industriales (ETSII)"
Exchange Student-Universitat Politècnica de Catalunya-(EEBE)-School of Engineering-Outgoing,2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Mechanical Engineering Bsc,908,0,"Universitat Politècnica de Catalunya, Universitat Politècnica de Catalunya - Escola d'Enginyeria de Barcelona Est (EEBE)"
SMILE-Exchange Student Undergraduate-Universidad Politécnica de Madrid (ETSAM)-Department of Architecture-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Architecture Bsc,1008,0,"Universidad Politécnica de Madrid, Universidad Politécnica de Madrid - Escuela Técnica Superior de Arquitectura"
Exchange Student-Universidad Nacional Autónoma de México UNAM-Universidad de los Andes-Outgoing,2019,,8,"8,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Early Childhood|| Law Bsc|| Systems and Computing Engineering Bsc,1392,2,Universidad Nacional Autónoma de México
Exchange Student Undergraduate-Haute Ecole des Arts du Rhin (HEAR)-School of Arts and Humanities-Outgoing,2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc|| Digital Narrative Bsc,1839,2,Haute Ecole des Arts du Rhin
Exchange Student Undergraduate-Haute Ecole des Arts du Rhin (HEAR)-School of Arts and Humanities-Outgoing,2020,Second Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Art History Bsc|| Arts Bsc|| Literature Bsc|| Music Bsc|| Digital Narrative Bsc,1839,2,Haute Ecole des Arts du Rhin
Exchange Student Undergraduate-Erasmus Universiteit Rotterdam-School of Economics-Outgoing,2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,1014,0,Erasmus Universiteit Rotterdam
"Exchange Student Undergraduate-Queen Mary University of London-Department of Humanities and Literature, Department of Languages and Socio-Cultural Studies-Outgoing",2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Literature Bsc|| Languages and Culture Bsc,834,2,"Queen Mary University of London, University of London"
"Exchange Student Undergraduate-Queen Mary University of London-Department of Humanities and Literature, Department of Languages and Socio-Cultural Studies-Outgoing",2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Literature Bsc|| Languages and Culture Bsc,834,2,"Queen Mary University of London, University of London"
Exchange Student Undergraduate-Universidade de São Paulo-School of Law-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Law Bsc,713,1,Universidade de São Paulo
Exchange Master Student-Wesleyan University-Incoming,2018,Second Semester 2018,1,"2,00",Academic period,Stay opportunity,Incoming,Active,,Postgraduate / Master,Master in Anthropology|| Master in Clinical and Health Psychology|| Master in Cultural Studies|| Master in Geography|| Master in History|| Master in International Studies|| Master in Journalism|| Master in Literature|| Master in Philosophy|| Master in Political Science|| Master in Psychology|| Master in Digital Humanities|| Master in Peace Building|| Master in Art History|| Master in Fine Arts|| Master in Music|| Master in Classical Studies|| Master in Sociology,1843,1,"Wesleyan University, Middletown"
SMILE-Exchange Student Undergraduate-Universidade de São Paulo-School of Engineering-Outgoing,2020,First Semester 2020,7,"7,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Industrial Engineering Bsc|| Mechanical Engineering Bsc|| Systems and Computing Engineering Bsc|| Food Engineering,686,5,Universidade de São Paulo
Exchange Student-FAAP - Fundação Armando Álvares Penteado-Universidad de los Andes-Outgoing,2020,First Semester 2020,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Systems and Computing Engineering Bsc,67,2,FAAP - Fundação Armando Álvares Penteado
SUI IURIS-Universidad de los Andes-Incoming,2018,Second Semester 2018,1,"1,00",Academic period,Stay opportunity,Incoming,Active,,Undergraduate / Bachelor,Law Bsc,1857,0,"Fundação Getulio Vargas, Fundação Getulio Vargas - Escola de Dereito São Paulo, Institut Català de Nanociència i Nanotecnologia, Instituto Tecnológico Autónomo de México, Pontificia Universidad Católica de Valparaíso, Pontificia Universidad Católica del Perú, Universidad Autónoma de Madrid, Universidad Carlos III de Madrid, Universidad Carlos III de Madrid - Instituto Lucio Anneo Séneca, Universidad de Buenos Aires, Universidad de Chile, Universidad de San Andrés, Universidad de Valparaíso, Universidad del Pacífico, Lima, Universidad Diego Portales, Universidad Metropolitana, Venezuela, Universidad Nacional del Litoral, Universidad Torcuato di Tella, Universitat Autónoma de Barcelona"
SUI IURIS-Universidad de los Andes-Incoming,2019,First Semester 2019,1,"1,00",Academic period,Stay opportunity,Incoming,Active,,Undergraduate / Bachelor,Law Bsc,1857,1,"Fundação Getulio Vargas, Fundação Getulio Vargas - Escola de Dereito São Paulo, Institut Català de Nanociència i Nanotecnologia, Instituto Tecnológico Autónomo de México, Pontificia Universidad Católica de Valparaíso, Pontificia Universidad Católica del Perú, Universidad Autónoma de Madrid, Universidad Carlos III de Madrid, Universidad Carlos III de Madrid - Instituto Lucio Anneo Séneca, Universidad de Buenos Aires, Universidad de Chile, Universidad de San Andrés, Universidad de Valparaíso, Universidad del Pacífico, Lima, Universidad Diego Portales, Universidad Metropolitana, Venezuela, Universidad Nacional del Litoral, Universidad Torcuato di Tella, Universitat Autónoma de Barcelona"
Exchange Student-Líderes del mañana-TEC MONTERREY-Universidad de los Andes-Outgoing,2018,Second Semester 2018,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1880,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC MONTERREY-Universidad de los Andes-Outgoing,2019,First Semester 2019,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1880,0,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student Undergraduate-Universität St. Gallen-School of Economics-Outgoing,2020,First Semester 2020,1,"1,00",Academic period,Stay opportunity,Outgoing,Active,,Undergraduate / Bachelor,Economics Bsc,736,0,Universität St. Gallen
Exchange Student-Líderes del mañana-TEC GUADALAJARA-Universidad de los Andes-Outgoing,2018,Second Semester 2018,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1892,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC GUADALAJARA-Universidad de los Andes-Outgoing,2019,First Semester 2019,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1892,5,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC CUERNAVACA-Universidad de los Andes-Outgoing,2018,Second Semester 2018,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1893,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC CUERNAVACA-Universidad de los Andes-Outgoing,2019,First Semester 2019,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1893,4,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC HIDALGO-Universidad de los Andes-Outgoing,2018,Second Semester 2018,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1894,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC HIDALGO-Universidad de los Andes-Outgoing,2019,First Semester 2019,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1894,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC TOLUCA-Universidad de los Andes-Outgoing,2018,Second Semester 2018,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc,1895,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC TOLUCA-Universidad de los Andes-Outgoing,2019,First Semester 2019,5,"5,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc,1895,2,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Arte In situ-School of Arts and Humanities-Universidad de los Andes,1967,,2,"2,00",Academic period,Stay opportunity,Outgoing,Active,,,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| Systems and Computing Engineering Bsc,1294,2,
Exchange Student-Líderes del mañana-TEC CUERNAVACA-Universidad de los Andes-Outgoing,2019,Second Semester 2019,2,"2,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1893,0,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC GUADALAJARA-Universidad de los Andes-Outgoing,2019,Second Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1892,1,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
Exchange Student-Líderes del mañana-TEC HIDALGO-Universidad de los Andes-Outgoing,2019,Second Semester 2019,3,"3,00",Academic period,Stay opportunity,Outgoing,Silent,,Undergraduate / Bachelor,Anthropology Bsc|| Architecture Bsc|| Art History Bsc|| Arts Bsc|| Biology Bsc|| Microbiology Bsc|| Biomedical Engineering Bsc|| Chemical Engineering Bsc|| Chemistry Bsc|| Civil Engineering Bsc|| Environmental Engineering Bsc|| Design Bsc|| Electrical Engineering Bsc|| Electronic Engineering Bsc|| Geosciences Bsc|| Government and Public Policy Bsc|| History Bsc|| Literature Bsc|| Industrial Engineering Bsc|| Languages and Culture Bsc|| Mathematics Bsc|| Mechanical Engineering Bsc|| Music Bsc|| Philosophy Bsc|| Physics Bsc|| Political Science Bsc|| Psychology Bsc|| Economics Bsc|| Education Bsc / Arts|| Education Bsc / Early Childhood|| Education Bsc / Humanities|| Education Bsc / Mathematics|| Education Bsc / Biology|| Education Bsc / History|| Law Bsc|| Administration Bsc|| International Accounting Bsc|| Systems and Computing Engineering Bsc|| Digital Narrative Bsc|| Food Engineering|| Education Bsc / Spanish and Philology|| Education Bsc / Philosophy|| Global Studies Bsc,1894,0,"Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM), Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara"
